chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL13,METOPROLOL,PHASE_2,2.0,Small molecule
CHEMBL5314947,DENATONIUM ACETATE MONOHYDRATE,PHASE_3,3.0,Small molecule
CHEMBL2029605,LIVOLETIDE,PHASE_2_3,2.5,Protein
CHEMBL2387742,CANNABIDIVARIN,PHASE_2,2.0,Small molecule
CHEMBL4802144,NNZ-2591,PHASE_2,2.0,Small molecule
CHEMBL3301624,SETMELANOTIDE,PHASE_2,2.0,Protein
CHEMBL4297276,DIAZOXIDE CHOLINE,PHASE_3,3.0,Small molecule
CHEMBL4084119,LIRAGLUTIDE,PHASE_3,3.0,Protein
CHEMBL4297504,BELORANIB,PHASE_3,3.0,Small molecule
CHEMBL190461,CANNABIDIOL,PHASE_3,3.0,Small molecule
