,CHEMBL13,CHEMBL5314947,CHEMBL2029605,CHEMBL2387742,CHEMBL4802144,CHEMBL3301624,CHEMBL4297276,CHEMBL4084119,CHEMBL4297504,CHEMBL190461
CHEMBL13,1.0,0.013383230424153805,0.009800691147876782,0.022866475434336703,0.005246834654923935,0.021435414117114637,0.01171032662113458,0.019819126987904376,0.02098387995706842,0.02473712480564326
CHEMBL5314947,0.013383230424153805,1.0,0.0093592185736481,0.014841046595356271,0.004877339256689855,0.013851643488999187,0.016257797522299517,0.011261498771544054,0.01038873261674939,0.014231140570889575
CHEMBL2029605,0.009800691147876782,0.0093592185736481,1.0,0.01078788433722678,0.012571623628629626,0.03133109836797435,0.008319305398798311,0.025939407282770013,0.009336279312438179,0.011648935655886167
CHEMBL2387742,0.022866475434336703,0.014841046595356271,0.01078788433722678,1.0,0.008744724424873224,0.036553391581097654,0.01138045826560966,0.04141080783093606,0.014800000039121079,0.5038404042663132
CHEMBL4802144,0.005246834654923935,0.004877339256689855,0.012571623628629626,0.008744724424873224,1.0,0.007447120155375907,0.004947015531785424,0.004172181773794936,0.012684655209706215,0.008364519015096128
CHEMBL3301624,0.021435414117114637,0.013851643488999187,0.03133109836797435,0.036553391581097654,0.007447120155375907,1.0,0.007049182437149713,0.11942455127072332,0.01247734671975783,0.055660151988344134
CHEMBL4297276,0.01171032662113458,0.016257797522299517,0.008319305398798311,0.01138045826560966,0.004947015531785424,0.007049182437149713,1.0,0.007557940395783287,0.008000124127309763,0.010919088335922783
CHEMBL4084119,0.019819126987904376,0.011261498771544054,0.025939407282770013,0.04141080783093606,0.004172181773794936,0.11942455127072332,0.007557940395783287,1.0,0.008213348685182005,0.05071384897527048
CHEMBL4297504,0.02098387995706842,0.01038873261674939,0.009336279312438179,0.014800000039121079,0.012684655209706215,0.01247734671975783,0.008000124127309763,0.008213348685182005,1.0,0.01396943738395048
CHEMBL190461,0.02473712480564326,0.014231140570889575,0.011648935655886167,0.5038404042663132,0.008364519015096128,0.055660151988344134,0.010919088335922783,0.05071384897527048,0.01396943738395048,1.0
