chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL1257040,TRIFLUOPERAZINE HYDROCHLORIDE,APPROVAL,4.0,Small molecule
CHEMBL3545231,ABT-126,PHASE_2,2.0,Small molecule
CHEMBL4297839,TIRZEPATIDE,PHASE_2,2.0,Protein
CHEMBL5314966,SPG-302,PHASE_2,2.0,Small molecule
CHEMBL3989872,APIMOSTINEL,PHASE_2,2.0,Protein
CHEMBL4650463,DEUTARSERINE,PHASE_2,2.0,Small molecule
CHEMBL715,OLANZAPINE,APPROVAL,4.0,Small molecule
CHEMBL269671,ARTEMISININ,PHASE_3,3.0,Small molecule
CHEMBL131495,SLV-310,PHASE_2,2.0,Small molecule
CHEMBL4298065,OMEGA-3 FATTY ACIDS,PHASE_3,3.0,Unknown
