chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL43128,PRIMAQUINE PHOSPHATE,APPROVAL,4.0,Small molecule
CHEMBL885,EMTRICITABINE,PHASE_3,3.0,Small molecule
CHEMBL570680,ARTEROLANE,PHASE_2,2.0,Small molecule
CHEMBL112,ACETAMINOPHEN,PHASE_3,3.0,Small molecule
CHEMBL689,MANNITOL,PHASE_3,3.0,Small molecule
CHEMBL1652442,PIPERAQUINE TETRAPHOSPHATE,APPROVAL,4.0,Small molecule
CHEMBL439,SULFADIAZINE,APPROVAL,4.0,Small molecule
CHEMBL1483,ALBENDAZOLE,PHASE_2_3,2.5,Small molecule
CHEMBL22,TRIMETHOPRIM,PHASE_3,3.0,Small molecule
CHEMBL1213553,CHLORPROGUANIL,APPROVAL,4.0,Small molecule
