,CHEMBL43128,CHEMBL885,CHEMBL570680,CHEMBL112,CHEMBL689,CHEMBL1652442,CHEMBL439,CHEMBL1483,CHEMBL22,CHEMBL1213553
CHEMBL43128,1.0,0.02157399074924418,0.017474932506887784,0.021921958341973923,0.2774953473459428,0.03782452923568785,0.03640610938934955,0.03832222040984164,0.03281677466082213,0.027347312217351778
CHEMBL885,0.02157399074924418,1.0,0.021336913927823914,0.013625678367943692,0.011887709188359036,0.020438517551915537,0.11866734893606706,0.017883702857926096,0.11596255009586331,0.008321396431851326
CHEMBL570680,0.017474932506887784,0.021336913927823914,1.0,0.02157399074924418,0.005627997586759351,0.018590353730731687,0.028102961633883865,0.01879025000740622,0.010908197569842562,0.01354645930766495
CHEMBL112,0.021921958341973923,0.013625678367943692,0.02157399074924418,1.0,0.006472197224773254,0.016738441098551517,0.023114990088475906,0.0329715707677128,0.011421524514305741,0.3214791502848843
CHEMBL689,0.2774953473459428,0.011887709188359036,0.005627997586759351,0.006472197224773254,1.0,0.00746791987473837,0.01078699537462209,0.007614349676203828,0.004412861744163582,0.009471508133814519
CHEMBL1652442,0.03782452923568785,0.020438517551915537,0.018590353730731687,0.016738441098551517,0.00746791987473837,1.0,0.025053666676541627,0.025888788899093015,0.016408387330411067,0.019987667900035047
CHEMBL439,0.03640610938934955,0.11866734893606706,0.028102961633883865,0.023114990088475906,0.01078699537462209,0.025053666676541627,1.0,0.021921958341973923,0.28995381589455604,0.014121157581323462
CHEMBL1483,0.03832222040984164,0.017883702857926096,0.01879025000740622,0.0329715707677128,0.007614349676203828,0.025888788899093015,0.021921958341973923,1.0,0.026081988816250425,0.023535262635539105
CHEMBL22,0.03281677466082213,0.11596255009586331,0.010908197569842562,0.011421524514305741,0.004412861744163582,0.016408387330411067,0.28995381589455604,0.026081988816250425,1.0,0.012526833338270814
CHEMBL1213553,0.027347312217351778,0.008321396431851326,0.01354645930766495,0.3214791502848843,0.009471508133814519,0.019987667900035047,0.014121157581323462,0.023535262635539105,0.012526833338270814,1.0
