chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL539697,DABIGATRAN ETEXILATE,PHASE_2,2.0,Small molecule
CHEMBL1201837,ECALLANTIDE,PHASE_2,2.0,Protein
CHEMBL1166,ARGATROBAN,PHASE_2,2.0,Small molecule
CHEMBL4594458,ANTITHROMBIN GAMMA,APPROVAL,4.0,Unknown
CHEMBL457,GEMFIBROZIL,APPROVAL,4.0,Small molecule
CHEMBL414357,EXENATIDE,PHASE_3,3.0,Protein
CHEMBL1201476,ENOXAPARIN SODIUM,PHASE_3,3.0,Oligosaccharide
CHEMBL34259,METHOTREXATE,PHASE_3,3.0,Small molecule
CHEMBL1201513,HEPARIN CALCIUM,PHASE_3,3.0,Oligosaccharide
CHEMBL1201772,PRASUGREL,PHASE_3,3.0,Small molecule
