chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL113,CAFFEINE,PHASE_3,3.0,Small molecule
CHEMBL1201631,INSULIN HUMAN,PHASE_2_3,2.5,Protein
CHEMBL47,ALPHA-TOCOPHEROL,PHASE_3,3.0,Small molecule
CHEMBL1131,ACITRETIN,PHASE_2,2.0,Small molecule
CHEMBL3329435,PF-05212377,PHASE_2,2.0,Small molecule
CHEMBL3707394,SEMBRAGILINE,PHASE_2,2.0,Small molecule
CHEMBL1256818,DEXTROMETHORPHAN HYDROBROMIDE,PHASE_2,2.0,Small molecule
CHEMBL21536,XANOMELINE,PHASE_3,3.0,Small molecule
CHEMBL468,THALIDOMIDE,PHASE_2_3,2.5,Small molecule
CHEMBL3989887,TACROLIMUS,PHASE_2,2.0,Small molecule
CHEMBL276832,HYDRALAZINE,PHASE_3,3.0,Small molecule
CHEMBL1491,AMLODIPINE,PHASE_2,2.0,Small molecule
CHEMBL4650317,ICAPAMESPIB,PHASE_2,2.0,Small molecule
CHEMBL2105760,BREXPIPRAZOLE,PHASE_3,3.0,Small molecule
CHEMBL122,ROFECOXIB,PHASE_2_3,2.5,Small molecule
CHEMBL1140,NIACINAMIDE,PHASE_3,3.0,Small molecule
CHEMBL1743072,SOLANEZUMAB,PHASE_3,3.0,Antibody
CHEMBL1294,QUINIDINE,PHASE_2,2.0,Small molecule
CHEMBL4303387,FK-962,PHASE_2,2.0,Small molecule
CHEMBL1201293,ACAMPROSATE,PHASE_2,2.0,Small molecule
CHEMBL796,METHYLPHENIDATE,PHASE_3,3.0,Small molecule
CHEMBL1743004,CRENEZUMAB,PHASE_3,3.0,Antibody
CHEMBL1743020,FORALUMAB,PHASE_2,2.0,Antibody
CHEMBL14249,ADENOSINE TRIPHOSPHATE,PHASE_2,2.0,Small molecule
CHEMBL4297817,QS-21,PHASE_2,2.0,Unknown
