chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL131,PREDNISOLONE,PHASE_2,2.0,Small molecule
CHEMBL729,LOPINAVIR,APPROVAL,4.0,Small molecule
CHEMBL109831,DEXELVUCITABINE,PHASE_2,2.0,Small molecule
CHEMBL280527,ATEVIRDINE MESYLATE,PHASE_2,2.0,Small molecule
CHEMBL1213165,DOLUTEGRAVIR SODIUM,APPROVAL,4.0,Small molecule
CHEMBL98,VORINOSTAT,PHASE_2,2.0,Small molecule
CHEMBL105318,ALOVUDINE,PHASE_2,2.0,Small molecule
CHEMBL3545123,PIBRENTASVIR,PHASE_3,3.0,Small molecule
CHEMBL463763,TRIPTOLIDE,PHASE_3,3.0,Small molecule
CHEMBL2105801,CELGOSIVIR HYDROCHLORIDE,PHASE_2,2.0,Small molecule
CHEMBL5483011,INDINAVIR,APPROVAL,4.0,Small molecule
CHEMBL4650525,VRC-01,PHASE_2,2.0,Unknown
CHEMBL4297247,BIZALIMOGENE RALAPLASMID,PHASE_2,2.0,Gene
CHEMBL4297973,HEPATITIS B VIRUS HBSAG SURFACE PROTEIN ANTIGEN,PHASE_3,3.0,Vaccine component
CHEMBL1201670,SARGRAMOSTIM,PHASE_2,2.0,Protein
CHEMBL372795,STREPTOMYCIN,PHASE_3,3.0,Small molecule
CHEMBL190461,CANNABIDIOL,PHASE_2,2.0,Small molecule
CHEMBL1649931,PF-232798,PHASE_2,2.0,Small molecule
CHEMBL2108658,TREMELIMUMAB,PHASE_2,2.0,Antibody
CHEMBL1233940,L 756423,PHASE_2,2.0,Small molecule
CHEMBL1201567,FILGRASTIM,APPROVAL,4.0,Protein
CHEMBL2108508,INTERFERON ALFA-2A,PHASE_3,3.0,Protein
CHEMBL1200796,CYCLOPHOSPHAMIDE,PHASE_2,2.0,Small molecule
CHEMBL5095479,PEXIPEPIMUT-S,PHASE_2,2.0,Protein
CHEMBL4594510,VRC07-523LS,PHASE_2,2.0,Unknown
