chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL166,MELARSOPROL,APPROVAL,4.0,Small molecule
CHEMBL413376,SURAMIN HEXASODIUM,APPROVAL,4.0,Small molecule
CHEMBL267345,AMPHOTERICIN B,PHASE_3,3.0,Small molecule
CHEMBL1631694,FEXINIDAZOLE,APPROVAL,4.0,Small molecule
CHEMBL361506,PENTAMIDINE ISETHIONATE,APPROVAL,4.0,Small molecule
CHEMBL869,NITROFURAZONE,APPROVAL,4.0,Small molecule
CHEMBL290960,NIFURTIMOX,APPROVAL,4.0,Small molecule
CHEMBL830,EFLORNITHINE,APPROVAL,4.0,Small molecule
CHEMBL110,BENZNIDAZOLE,APPROVAL,4.0,Small molecule
CHEMBL1330792,ACETARSONE,APPROVAL,4.0,Small molecule
CHEMBL370143,PAROMOMYCIN,PHASE_3,3.0,Small molecule
CHEMBL125,MILTEFOSINE,APPROVAL,4.0,Small molecule
CHEMBL6067962,SODIUM STIBOGLUCONATE,APPROVAL,4.0,Small molecule
CHEMBL239129,MEGLUMINE ANTIMONATE,APPROVAL,4.0,Small molecule
