chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL43128,PRIMAQUINE PHOSPHATE,APPROVAL,4.0,Small molecule
CHEMBL885,EMTRICITABINE,PHASE_3,3.0,Small molecule
CHEMBL570680,ARTEROLANE,PHASE_2,2.0,Small molecule
CHEMBL112,ACETAMINOPHEN,PHASE_3,3.0,Small molecule
CHEMBL689,MANNITOL,PHASE_3,3.0,Small molecule
CHEMBL1652442,PIPERAQUINE TETRAPHOSPHATE,APPROVAL,4.0,Small molecule
CHEMBL439,SULFADIAZINE,APPROVAL,4.0,Small molecule
CHEMBL1483,ALBENDAZOLE,PHASE_2_3,2.5,Small molecule
CHEMBL22,TRIMETHOPRIM,PHASE_3,3.0,Small molecule
CHEMBL1213553,CHLORPROGUANIL,APPROVAL,4.0,Small molecule
CHEMBL4297695,AQ-13,PHASE_2,2.0,Unknown
CHEMBL2058833,GANAPLACIDE,PHASE_2,2.0,Small molecule
CHEMBL941,IMATINIB,PHASE_2,2.0,Small molecule
CHEMBL1107,HALOFANTRINE,APPROVAL,4.0,Small molecule
CHEMBL1377,PROGUANIL,APPROVAL,4.0,Small molecule
CHEMBL979,MEPROBAMATE,APPROVAL,4.0,Small molecule
CHEMBL747,CYCLOGUANIL,PHASE_2_3,2.5,Small molecule
CHEMBL298470,TAFENOQUINE,APPROVAL,4.0,Small molecule
CHEMBL58061,CO-TRIMOXAZOLE,PHASE_2,2.0,Small molecule
CHEMBL170,QUININE,APPROVAL,4.0,Small molecule
CHEMBL1535,HYDROXYCHLOROQUINE,APPROVAL,4.0,Small molecule
CHEMBL2364635,TAFENOQUINE SUCCINATE,APPROVAL,4.0,Small molecule
CHEMBL1201059,PROGUANIL HYDROCHLORIDE,APPROVAL,4.0,Small molecule
CHEMBL319669,PAFURAMIDINE,PHASE_3,3.0,Small molecule
CHEMBL1450,ATOVAQUONE,APPROVAL,4.0,Small molecule
CHEMBL244800,SULPHADOXINE,APPROVAL,4.0,Small molecule
CHEMBL1539,SULFADOXINE,PHASE_3,3.0,Small molecule
CHEMBL1183040,ALBITIAZOLIUM,PHASE_2,2.0,Small molecule
CHEMBL4207489,SJ-733,PHASE_2,2.0,Small molecule
CHEMBL4297927,LUMEFANTRINE CO-ARTEMETHER,APPROVAL,4.0,Unknown
