chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL13,METOPROLOL,PHASE_2,2.0,Small molecule
CHEMBL5314947,DENATONIUM ACETATE MONOHYDRATE,PHASE_3,3.0,Small molecule
CHEMBL2029605,LIVOLETIDE,PHASE_2_3,2.5,Protein
CHEMBL2387742,CANNABIDIVARIN,PHASE_2,2.0,Small molecule
CHEMBL4802144,NNZ-2591,PHASE_2,2.0,Small molecule
CHEMBL3301624,SETMELANOTIDE,PHASE_2,2.0,Protein
CHEMBL4297276,DIAZOXIDE CHOLINE,PHASE_3,3.0,Small molecule
CHEMBL4084119,LIRAGLUTIDE,PHASE_3,3.0,Protein
CHEMBL4297504,BELORANIB,PHASE_3,3.0,Small molecule
CHEMBL190461,CANNABIDIOL,PHASE_3,3.0,Small molecule
CHEMBL220492,TOPIRAMATE,PHASE_3,3.0,Small molecule
CHEMBL395429,OXYTOCIN,PHASE_3,3.0,Protein
CHEMBL462605,PITOLISANT,PHASE_3,3.0,Small molecule
CHEMBL111,RIMONABANT,PHASE_3,3.0,Small molecule
CHEMBL1680,OCTREOTIDE,PHASE_3,3.0,Protein
CHEMBL1201621,SOMATROPIN,APPROVAL,4.0,Protein
CHEMBL3989690,TESOFENSINE,PHASE_2,2.0,Small molecule
CHEMBL3301668,CARBETOCIN,PHASE_3,3.0,Protein
