chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL1534,RIBOFLAVIN,PHASE_3,3.0,Small molecule
CHEMBL2096646,AMINOSALICYLATE SODIUM,APPROVAL,4.0,Small molecule
CHEMBL2221250,CAPREOMYCIN,APPROVAL,4.0,Protein
CHEMBL1588,THIAMINE,PHASE_3,3.0,Small molecule
CHEMBL734,ACETOHYDROXAMIC ACID,PHASE_2,2.0,Small molecule
CHEMBL1229211,DOLUTEGRAVIR,PHASE_3,3.0,Small molecule
CHEMBL885,EMTRICITABINE,PHASE_3,3.0,Small molecule
CHEMBL1082,AMOXICILLIN,PHASE_2,2.0,Small molecule
CHEMBL126,LINEZOLID,PHASE_3,3.0,Small molecule
CHEMBL5314931,SUDAPYRIDINE,PHASE_3,3.0,Small molecule
CHEMBL1660,RIFAPENTINE,APPROVAL,4.0,Small molecule
CHEMBL468,THALIDOMIDE,PHASE_2,2.0,Small molecule
CHEMBL3184791,STREPTOMYCIN SULFATE,APPROVAL,4.0,Small molecule
CHEMBL1201564,INTERFERON GAMMA-1B,PHASE_2,2.0,Protein
CHEMBL1460,DIDANOSINE,PHASE_3,3.0,Small molecule
CHEMBL1536,ERGOCALCIFEROL,PHASE_3,3.0,Small molecule
CHEMBL5095080,QUABODEPISTAT,PHASE_2,2.0,Small molecule
CHEMBL4553146,TBAJ-876,PHASE_2,2.0,Small molecule
CHEMBL2105120,FTIVAZIDE,APPROVAL,4.0,Small molecule
CHEMBL1144,PRAVASTATIN,PHASE_2,2.0,Small molecule
CHEMBL529,AZITHROMYCIN,PHASE_2,2.0,Small molecule
CHEMBL3,NICOTINE,PHASE_3,3.0,Small molecule
CHEMBL3989702,TENOFOVIR,PHASE_3,3.0,Small molecule
CHEMBL127,MEROPENEM,PHASE_2,2.0,Small molecule
CHEMBL2146142,ENVIOMYCIN,APPROVAL,4.0,Protein
