chembl_id,drug_name,stage_str,max_phase,drug_type
CHEMBL4297435,RETAGLIPTIN,PHASE_3,3.0,Small molecule
CHEMBL5314751,MARIDEBART CAFRAGLUTIDE,PHASE_3,3.0,Antibody drug conjugate
CHEMBL2103800,COLESTILAN CHLORIDE,PHASE_2,2.0,Small molecule
CHEMBL2107067,TESTOSTERONE UNDECANOATE,PHASE_3,3.0,Small molecule
CHEMBL3988900,ZINC OXIDE,PHASE_2,2.0,Small molecule
CHEMBL1237025,PEGLOTICASE,PHASE_2,2.0,Enzyme
CHEMBL981,FENOFIBRIC ACID,APPROVAL,4.0,Small molecule
CHEMBL2401865,OXYNTOMODULIN,PHASE_2,2.0,Protein
CHEMBL6068392,ICOVAMENIB,PHASE_2,2.0,Small molecule
CHEMBL2110727,CENICRIVIROC,PHASE_2,2.0,Small molecule
CHEMBL4296719,DUTOGLIPTIN,PHASE_3,3.0,Small molecule
CHEMBL1256818,DEXTROMETHORPHAN HYDROBROMIDE,PHASE_2,2.0,Small molecule
CHEMBL191,LOSARTAN,PHASE_3,3.0,Small molecule
CHEMBL239243,TAURINE,PHASE_2,2.0,Small molecule
CHEMBL4297399,LY-2608204,PHASE_2,2.0,Small molecule
CHEMBL218490,DORZOLAMIDE,PHASE_2_3,2.5,Small molecule
CHEMBL3989794,DAGLUTRIL,PHASE_2,2.0,Small molecule
CHEMBL490,PAROXETINE,PHASE_3,3.0,Small molecule
CHEMBL2387408,LINERIXIBAT,PHASE_2,2.0,Small molecule
CHEMBL1200699,DOXYCYCLINE,PHASE_3,3.0,Small molecule
CHEMBL1761322,MK-0736,PHASE_2,2.0,Small molecule
CHEMBL3785197,OBICETRAPIB,PHASE_3,3.0,Small molecule
CHEMBL1715,PIOGLITAZONE HYDROCHLORIDE,APPROVAL,4.0,Small molecule
CHEMBL515387,GOSOGLIPTIN,PHASE_3,3.0,Small molecule
CHEMBL1393,SPIRONOLACTONE,PHASE_3,3.0,Small molecule
