ind_name,candidate_count
Juvenile arthritis,3
Precocious Puberty,3
Acute myocardial infarction,3
Cryopyrin-Associated Periodic Syndromes,3
Bedwetting,3
Hemophilia B,3
Metastatic Renal Cell Cancer,3
HER2-positive carcinoma of breast,3
Malignant Carcinoid Syndrome,3
Incomplete spontaneous abortion,3
Megaloblastic anemia due to folate deficiency,3
"Anemia, Pernicious",3
Vitamin B 12 Deficiency,3
Short Bowel Syndrome,3
Renal Osteodystrophy,3
Poisoning by acetaminophen,3
Amyloidosis,3
Folic Acid Deficiency,3
Diabetic peripheral neuropathy,3
Muscle spasticity of spinal origin,3
"Keratitis, Herpetic",3
Septicemia candida,3
"Meningitis, Cryptococcal",3
Hepatic Coma,3
Toxoplasmosis,3
Pulmonary Mycobacterium avium complex infection,3
Hypoalphalipoproteinemias,3
Chronic ulcerative proctitis,3
Cutaneous anthrax,3
Cholera,3
Boutonneuse Fever,3
Rickettsia Infections,3
Gastrointestinal anthrax,3
Bartonella Infections,3
Disorder of electrolytes,3
Hypermagnesemia,3
Hypocalcemic tetany,3
Vulvovaginitis,3
Thromboembolism,3
Thrombosis,3
Cerebral Embolism,3
Lung diseases,3
Asthma night-time symptoms,3
Asthma-chronic obstructive pulmonary disease overlap syndrome,3
Malignant neoplasm of thyroid,3
Neuralgia,3
Dyspareunia,3
"Pleural Effusion, Malignant",3
Miscarriage with sepsis,3
Malignant neoplasm of stomach stage IV,3
Cerebral Ischemia,3
Epidermal growth factor receptor positive non-small cell lung cancer,3
Septicemia due to enterococcus,3
Appendicitis,3
Classical phenylketonuria,3
Malignant neoplasm of urinary bladder,3
Rectal pain,3
Metrorrhagia,3
Secondary physiologic amenorrhea,3
Tinea Capitis,3
Impetigo,3
pharyngitis due to Haemophilus influenzae,3
Bacterial Endocarditis,3
Acute intermittent porphyria,3
Initial insomnia,3
Calcium renal calculus,3
Alcohol Withdrawal Delirium,3
Alcohol withdrawal syndrome,3
Klebsiella sepsis,3
Pseudomonas aeruginosa meningitis,3
Meningitis due to Klebsiella mobilis,3
Chronic schizophrenia,3
Staphylococcal Infections,3
Acute osteomyelitis,3
Enteric campylobacteriosis,3
Nephroblastoma,3
Myasthenia Gravis,3
Vitiligo,3
Complicated appendicitis,3
Gestational Trophoblastic Neoplasms,3
Accidental poisoning by lead and its compounds and fumes,3
Hyperammonemia,3
Fusariosis,3
Congestive heart failure,3
Enterobiasis,3
Ascariasis,3
"Leukemia, Myeloid, Chronic-Phase",3
Blast Phase,3
Philadelphia chromosome-positive acute lymphoblastic leukemia,3
Gastrointestinal Stromal Tumors,3
Giant Cell Arteritis,3
Keloid,3
Gingival Diseases,3
Cryptorchidism,3
Klinefelter Syndrome,3
Amebiasis,3
Alzheimer's Disease,3
Diabetic Nephropathy,3
