drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus
Lepirudin,DB00001,Heparin-induced thrombocytopenia with thrombosis,C0272275,Approved,,
Cetuximab,DB00002,Squamous cell carcinoma of mouth,C0585362,Approved,,
Cetuximab,DB00002,Squamous cell carcinoma of nose,C3163899,Approved,,
Cetuximab,DB00002,Squamous cell carcinoma of pharynx,C1319317,Approved,,
Cetuximab,DB00002,Laryngeal Squamous Cell Carcinoma,C0280324,Approved,,
Cetuximab,DB00002,Malignant tumor of colon,C0007102,Approved,,
Dornase alfa,DB00003,Cystic Fibrosis,C0010674,Approved,,
Denileukin diftitox,DB00004,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved,,
Etanercept,DB00005,Rheumatoid Arthritis,C0003873,Approved,,
Etanercept,DB00005,Juvenile arthritis,C3495559,Approved,,
Etanercept,DB00005,"Arthritis, Psoriatic",C0003872,Approved,,
Etanercept,DB00005,Ankylosing spondylitis,C0038013,Approved,,
Etanercept,DB00005,Chronic small plaque psoriasis,C0406317,Approved,,
Leuprolide,DB00007,Precocious Puberty,C0034013,Approved,,
Leuprolide,DB00007,Endometriosis,C0014175,Approved,,
Peginterferon alfa-2a,DB00008,"Hepatitis C, Chronic",C0524910,Approved,,
Peginterferon alfa-2a,DB00008,"Hepatitis B, Chronic",C0524909,Approved,,
Alteplase,DB00009,Ischemic stroke,C0948008,Approved,,
Alteplase,DB00009,Acute myocardial infarction,C0155626,Approved,,
Alteplase,DB00009,Pulmonary Embolism,C0034065,Approved,,
Sermorelin,DB00010,Pituitary dwarfism,C0013338,Approved,,
Urokinase,DB00013,Pulmonary Embolism,C0034065,Approved,,
Goserelin,DB00014,Hormone receptor positive malignant neoplasm of breast,C1562029,Approved,,
Goserelin,DB00014,Endometriosis,C0014175,Approved,,
Reteplase,DB00015,Acute myocardial infarction,C0155626,Approved,,
Erythropoietin,DB00016,Anemia in chronic kidney disease,C1561828,Approved,,
Erythropoietin,DB00016,Anemia due to chemotherapy,C1998329,Approved,,
Salmon Calcitonin,DB00017,"Osteoporosis, Postmenopausal",C0029458,Approved,,
Salmon Calcitonin,DB00017,Osteitis Deformans,C0029401,Approved,,
Pegfilgrastim,DB00019,Chemotherapy-induced neutropenia,C1827687,Approved,,
Sargramostim,DB00020,Chemotherapy-induced neutropenia,C1827687,Approved,,
Peginterferon alfa-2b,DB00022,"Hepatitis C, Chronic",C0524910,Approved,,
Asparaginase,DB00023,Acute lymphocytic leukemia,C0023449,Approved,,
Anakinra,DB00026,Rheumatoid Arthritis,C0003873,Approved,,
Anakinra,DB00026,Cryopyrin-Associated Periodic Syndromes,C2316212,Approved,,
Anakinra,DB00026,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",C0409818,Approved,,
Gramicidin D,DB00027,Bacterial conjunctivitis,C0009768,Approved,,
Gramicidin D,DB00027,Infective blepharitis,C0729587,Approved,,
Gramicidin D,DB00027,Blepharoconjunctivitis,C0005743,Approved,,
Gramicidin D,DB00027,Bacterial keratitis,C0854211,Approved,,
Insulin Human,DB00030,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved,,
Insulin Human,DB00030,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved,,
Insulin Human,DB00030,Diabetes Mellitus,C0011849,Approved,,
Tenecteplase,DB00031,Acute myocardial infarction,C0155626,Approved,,
Desmopressin,DB00035,Hemophilia A,C0019069,Approved,,
Desmopressin,DB00035,von Willebrand Disease,C0042974,Approved,,
Desmopressin,DB00035,Bedwetting,C0270327,Approved,,
Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia A,C0019069,Approved,,
Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia B,C0008533,Approved,,
Coagulation factor VIIa Recombinant Human,DB00036,Thrombasthenia,C0040015,Approved,,
Coagulation factor VIIa Recombinant Human,DB00036,Factor VII Deficiency,C0015503,Approved,,
Oprelvekin,DB00038,Thrombocytopenia,C0040034,Approved,,
Palifermin,DB00039,Mucositis following radiation therapy,C0392190,Approved,,
Palifermin,DB00039,Drug-induced mucositis,C1274988,Approved,,
Glucagon recombinant,DB00040,Hypoglycemia,C0020615,Approved,,
Aldesleukin,DB00041,"Leukemia, Myelocytic, Acute",C0023467,Approved,,
Aldesleukin,DB00041,Metastatic Renal Cell Cancer,C0278678,Approved,,
Aldesleukin,DB00041,"Malignant melanoma, metastatic",C0860594,Approved,,
Omalizumab,DB00043,Asthma,C0004096,Approved,,
Omalizumab,DB00043,Chronic idiopathic urticaria,C0578870,Approved,,
Insulin Lispro,DB00046,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved,,
Insulin Lispro,DB00046,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved,,
Insulin Glargine,DB00047,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved,,
Insulin Glargine,DB00047,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved,,
Collagenase clostridium histolyticum,DB00048,"Dupuytren's disease of finger, with contracture",C0410065,Approved,,
Collagenase clostridium histolyticum,DB00048,Peyronie Disease,C0030848,Approved,,
Rasburicase,DB00049,Hyperuricemia,C0740394,Approved,,
Adalimumab,DB00051,Rheumatoid Arthritis,C0003873,Approved,,
Adalimumab,DB00051,Juvenile arthritis,C3495559,Approved,,
Adalimumab,DB00051,"Arthritis, Psoriatic",C0003872,Approved,,
Adalimumab,DB00051,Ankylosing spondylitis,C0038013,Approved,,
Adalimumab,DB00051,Crohn Disease,C0010346,Approved,,
