phase_num,drug_success_rate,drug_n_uses,disease_success_rate,disease_n_uses,is_rare,success
4.0,1.0,1,1.0,2,1,1
4.0,0.1111111111111111,45,1.0,1,1,1
4.0,0.1111111111111111,45,1.0,1,1,1
4.0,0.1111111111111111,45,1.0,1,1,1
4.0,0.1111111111111111,45,1.0,1,1,1
4.0,0.1111111111111111,45,0.057971014492753624,69,0,1
4.0,1.0,1,0.2222222222222222,9,0,1
4.0,0.16666666666666666,6,0.967741935483871,31,0,1
4.0,1.0,5,0.84375,64,0,1
4.0,1.0,5,1.0,3,1,1
4.0,1.0,5,1.0,17,0,1
4.0,1.0,5,1.0,18,0,1
4.0,1.0,5,1.0,34,0,1
4.0,0.4,5,1.0,3,1,1
4.0,0.4,5,0.9,10,0,1
4.0,0.5,4,0.8333333333333334,18,0,1
4.0,0.5,4,1.0,6,0,1
4.0,1.0,3,1.0,1,1,1
4.0,1.0,3,1.0,3,1,1
4.0,1.0,3,0.8,5,0,1
4.0,1.0,1,1.0,2,1,1
4.0,1.0,1,0.8,5,0,1
4.0,0.3333333333333333,6,1.0,8,0,1
4.0,0.3333333333333333,6,0.9,10,0,1
4.0,1.0,1,1.0,3,1,1
4.0,0.2222222222222222,9,1.0,5,0,1
4.0,0.2222222222222222,9,1.0,1,1,1
4.0,0.5,4,1.0,12,0,1
4.0,0.5,4,1.0,7,0,1
4.0,0.058823529411764705,17,1.0,4,0,1
4.0,1.0,1,1.0,4,0,1
4.0,0.2,5,0.8333333333333334,18,0,1
4.0,0.2,5,1.0,19,0,1
4.0,1.0,3,0.84375,64,0,1
4.0,1.0,3,1.0,3,1,1
4.0,1.0,3,1.0,1,1,1
4.0,1.0,4,1.0,18,0,1
4.0,1.0,4,1.0,12,0,1
4.0,1.0,4,1.0,13,0,1
4.0,1.0,4,1.0,12,0,1
4.0,1.0,3,0.75,4,0,1
4.0,1.0,3,0.918918918918919,37,0,1
4.0,1.0,3,0.45454545454545453,11,0,1
4.0,0.5,2,1.0,3,1,1
4.0,1.0,3,1.0,4,0,1
4.0,1.0,3,1.0,2,1,1
4.0,1.0,3,1.0,3,1,1
4.0,1.0,4,1.0,4,0,1
4.0,1.0,4,1.0,3,1,1
4.0,1.0,4,1.0,1,1,1
4.0,1.0,4,1.0,1,1,1
4.0,0.09090909090909091,11,1.0,1,1,1
4.0,1.0,2,1.0,1,1,1
4.0,1.0,2,1.0,1,1,1
4.0,0.5,2,1.0,1,1,1
4.0,0.0625,48,0.375,24,0,1
4.0,0.0625,48,1.0,3,1,1
4.0,0.0625,48,1.0,8,0,1
4.0,1.0,2,1.0,33,0,1
4.0,1.0,2,1.0,7,0,1
4.0,1.0,2,0.75,4,0,1
4.0,1.0,2,0.918918918918919,37,0,1
4.0,1.0,2,0.75,4,0,1
4.0,1.0,2,0.918918918918919,37,0,1
4.0,1.0,2,1.0,1,1,1
4.0,1.0,2,1.0,2,1,1
4.0,0.05555555555555555,18,1.0,6,0,1
4.0,0.7272727272727273,11,0.84375,64,0,1
4.0,0.7272727272727273,11,1.0,3,1,1
4.0,0.7272727272727273,11,1.0,17,0,1
4.0,0.7272727272727273,11,1.0,18,0,1
4.0,0.7272727272727273,11,0.75,20,0,1
4.0,0.7272727272727273,11,0.6111111111111112,18,0,1
4.0,0.7272727272727273,11,1.0,34,0,1
4.0,0.7272727272727273,11,1.0,1,1,1
4.0,1.0,4,1.0,1,1,1
4.0,1.0,4,1.0,2,1,1
4.0,1.0,4,1.0,2,1,1
4.0,1.0,4,1.0,1,1,1
4.0,1.0,1,1.0,5,0,1
4.0,1.0,1,0.375,24,0,1
4.0,0.16666666666666666,6,1.0,19,0,1
4.0,1.0,1,1.0,8,0,1
4.0,0.5,2,0.5,12,0,1
4.0,0.5454545454545454,11,0.75,20,0,1
4.0,0.5454545454545454,11,0.6111111111111112,18,0,1
4.0,0.5454545454545454,11,0.84375,64,0,1
4.0,0.5454545454545454,11,1.0,18,0,1
4.0,0.5454545454545454,11,1.0,17,0,1
4.0,0.5454545454545454,11,1.0,34,0,1
4.0,1.0,3,1.0,3,1,1
4.0,1.0,3,1.0,2,1,1
4.0,1.0,3,1.0,4,0,1
4.0,1.0,1,1.0,8,0,1
4.0,0.2,15,1.0,3,1,1
4.0,0.2,15,1.0,2,1,1
4.0,0.2,15,1.0,1,1,1
4.0,0.031914893617021274,94,0.5142857142857142,35,0,1
4.0,0.031914893617021274,94,1.0,11,0,1
4.0,0.031914893617021274,94,0.84375,64,0,1
4.0,1.0,1,1.0,4,0,1
4.0,1.0,1,1.0,14,0,1
4.0,0.5,4,1.0,1,1,1
4.0,0.5,4,1.0,10,0,1
4.0,1.0,1,0.7142857142857143,7,0,1
4.0,1.0,1,1.0,1,1,1
4.0,0.045454545454545456,22,1.0,8,0,1
4.0,1.0,1,1.0,2,1,1
4.0,1.0,1,1.0,1,1,1
4.0,0.10714285714285714,28,0.84375,64,0,1
4.0,0.10714285714285714,28,1.0,4,0,1
4.0,0.10714285714285714,28,1.0,1,1,1
4.0,0.3333333333333333,3,1.0,34,0,1
4.0,1.0,1,1.0,34,0,1
4.0,1.0,4,1.0,4,0,1
4.0,1.0,4,1.0,2,1,1
4.0,1.0,4,1.0,2,1,1
4.0,1.0,4,1.0,2,1,1
4.0,1.0,1,1.0,3,1,1
4.0,1.0,1,1.0,1,1,1
4.0,1.0,1,1.0,1,1,1
4.0,0.4,5,0.7142857142857143,7,0,1
4.0,0.4,5,0.3333333333333333,3,1,1
4.0,1.0,1,1.0,1,1,1
4.0,0.5,6,1.0,5,0,1
4.0,0.5,6,1.0,5,0,1
4.0,0.5,6,1.0,3,1,1
4.0,1.0,2,0.3870967741935484,31,0,1
4.0,1.0,2,0.75,20,0,1
4.0,1.0,1,0.8787878787878788,33,0,1
4.0,1.0,1,1.0,2,1,1
4.0,0.5,4,1.0,4,0,1
4.0,0.5,4,1.0,8,0,1
4.0,0.08333333333333333,96,1.0,2,1,1
4.0,0.08333333333333333,96,1.0,1,1,1
4.0,0.08333333333333333,96,1.0,1,1,1
4.0,0.08333333333333333,96,1.0,3,1,1
4.0,0.08333333333333333,96,1.0,1,1,1
4.0,0.08333333333333333,96,1.0,2,1,1
4.0,0.08333333333333333,96,1.0,1,1,1
4.0,0.08333333333333333,96,1.0,1,1,1
