drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus
Lepirudin,DB00001,Heparin-induced thrombocytopenia with thrombosis,C0272275,Approved,,
Cetuximab,DB00002,Squamous cell carcinoma of mouth,C0585362,Approved,,
Cetuximab,DB00002,Squamous cell carcinoma of nose,C3163899,Approved,,
Cetuximab,DB00002,Squamous cell carcinoma of pharynx,C1319317,Approved,,
Cetuximab,DB00002,Laryngeal Squamous Cell Carcinoma,C0280324,Approved,,
Etanercept,DB00005,Juvenile arthritis,C3495559,Approved,,
Leuprolide,DB00007,Precocious Puberty,C0034013,Approved,,
Alteplase,DB00009,Ischemic stroke,C0948008,Approved,,
Alteplase,DB00009,Acute myocardial infarction,C0155626,Approved,,
Sermorelin,DB00010,Pituitary dwarfism,C0013338,Approved,,
Reteplase,DB00015,Acute myocardial infarction,C0155626,Approved,,
Erythropoietin,DB00016,Anemia due to chemotherapy,C1998329,Approved,,
Anakinra,DB00026,Cryopyrin-Associated Periodic Syndromes,C2316212,Approved,,
Anakinra,DB00026,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",C0409818,Approved,,
Tenecteplase,DB00031,Acute myocardial infarction,C0155626,Approved,,
Desmopressin,DB00035,von Willebrand Disease,C0042974,Approved,,
Desmopressin,DB00035,Bedwetting,C0270327,Approved,,
Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia B,C0008533,Approved,,
Coagulation factor VIIa Recombinant Human,DB00036,Thrombasthenia,C0040015,Approved,,
Coagulation factor VIIa Recombinant Human,DB00036,Factor VII Deficiency,C0015503,Approved,,
Oprelvekin,DB00038,Thrombocytopenia,C0040034,Approved,,
Palifermin,DB00039,Mucositis following radiation therapy,C0392190,Approved,,
Palifermin,DB00039,Drug-induced mucositis,C1274988,Approved,,
Glucagon recombinant,DB00040,Hypoglycemia,C0020615,Approved,,
Aldesleukin,DB00041,Metastatic Renal Cell Cancer,C0278678,Approved,,
Collagenase clostridium histolyticum,DB00048,"Dupuytren's disease of finger, with contracture",C0410065,Approved,,
Collagenase clostridium histolyticum,DB00048,Peyronie Disease,C0030848,Approved,,
Adalimumab,DB00051,Juvenile arthritis,C3495559,Approved,,
Adalimumab,DB00051,Hidradenitis Suppurativa,C0162836,Approved,,
Somatropin recombinant,DB00052,Growth retardation,C0151686,Approved,,
Somatropin recombinant,DB00052,Prader-Willi Syndrome,C0032897,Approved,,
Somatropin recombinant,DB00052,Pituitary dwarfism,C0013338,Approved,,
Somatropin recombinant,DB00052,Turner Syndrome,C0041408,Approved,,
Vasopressin,DB00067,Bedwetting,C0270327,Approved,,
Vasopressin,DB00067,von Willebrand Disease,C0042974,Approved,,
Trastuzumab,DB00072,HER2-positive carcinoma of breast,C1960398,Approved,,
Trastuzumab,DB00072,Secondary malignant neoplasm of female breast,C0346993,Approved,,
Trastuzumab,DB00072,Secondary malignant neoplasm of stomach,C0686068,Approved,,
Daptomycin,DB00080,Right-sided Staphylococcus aureus endocarditis,C1960924,Approved,,
Pancrelipase,DB00085,Exocrine pancreatic insufficiency,C0267963,Approved,,
Alglucerase,DB00088,"Gaucher Disease, Type 1",C1961835,Approved,,
Laronidase,DB00090,Mucopolysaccharidosis I,C0023786,Approved,,
Cyclosporine,DB00091,Keratoconjunctivitis Sicca,C0022575,Approved,,
Filgrastim,DB00099,Congenital neutropenia,C0340970,Approved,,
Filgrastim,DB00099,Cyclic neutropenia,C0221023,Approved,,
Filgrastim,DB00099,Chronic idiopathic neutropenia,C2267231,Approved,,
Coagulation Factor IX,DB00100,Hemophilia B,C0008533,Approved,,
Becaplermin,DB00102,Neuropathic diabetic ulcer - foot,C0406526,Approved,,
Agalsidase beta,DB00103,Fabry Disease,C0002986,Approved,,
Octreotide,DB00104,Malignant Carcinoid Syndrome,C0024586,Approved,,
Abarelix,DB00106,Ischemic priapism,C2711256,Approved,,
Oxytocin,DB00107,Incomplete spontaneous abortion,C0000810,Approved,,
Palivizumab,DB00110,Respiratory Syncytial Virus Infections,C0035235,Approved,,
Bevacizumab,DB00112,Secondary malignant neoplasm of colon,C0346974,Approved,,
Bevacizumab,DB00112,Nonsquamous nonsmall cell neoplasm of lung,C2585890,Approved,,
Bevacizumab,DB00112,Glioblastoma Multiforme,C1621958,Approved,,
Bevacizumab,DB00112,Metastatic Renal Cell Cancer,C0278678,Approved,,
Bevacizumab,DB00112,Cervix carcinoma,C0302592,Approved,,
Bevacizumab,DB00112,Malignant tumor of peritoneum,C0153467,Approved,,
Bevacizumab,DB00112,Malignant epithelial tumor of ovary,C0346161,Approved,,
Bevacizumab,DB00112,Malignant neoplasm of fallopian tube,C0153579,Approved,,
Cyanocobalamin,DB00115,Megaloblastic anemia due to folate deficiency,C0151482,Approved,,
Cyanocobalamin,DB00115,"Anemia, Pernicious",C0002892,Approved,,
Cyanocobalamin,DB00115,Vitamin B 12 Deficiency,C0042847,Approved,,
Biotin,DB00121,Biotin deficiency disease,C2937225,Approved,,
L-Glutamine,DB00130,Short Bowel Syndrome,C0036992,Approved,,
Calcitriol,DB00136,Renal Osteodystrophy,C0035086,Approved,,
Xanthophyll,DB00137,Age related macular degeneration,C0242383,Approved,,
Xanthophyll,DB00137,Meibomian gland dysfunction,C1275684,Approved,,
Calcidiol,DB00146,Renal Osteodystrophy,C0035086,Approved,,
L-Cysteine,DB00151,Poisoning by acetaminophen,C0237963,Approved,,
L-Cysteine,DB00151,Amyloidosis,C0002726,Approved,,
Thiamine,DB00152,Vitamin B 12 Deficiency,C0042847,Approved,,
