indication,n_candidates,n_approved,n_failed,drugs
Heparin-induced thrombocytopenia with thrombosis,2,2,0,"Argatroban, Lepirudin"
Pituitary dwarfism,2,2,0,"Sermorelin, Somatropin recombinant"
von Willebrand Disease,2,2,0,"Desmopressin, Vasopressin"
Peyronie Disease,2,2,0,"Benzoic Acid, Collagenase clostridium histolyticum"
Prader-Willi Syndrome,2,2,0,"Carbetocin, Somatropin recombinant"
Secondary malignant neoplasm of female breast,2,2,0,"Aminoglutethimide, Trastuzumab"
"Gaucher Disease, Type 1",2,2,0,"Alglucerase, Velaglucerase alfa"
Congenital neutropenia,2,2,0,"Filgrastim, Filgrastim-sndz"
Cyclic neutropenia,2,2,0,"Filgrastim, Filgrastim-sndz"
Chronic idiopathic neutropenia,2,2,0,"Filgrastim, Filgrastim-sndz"
Respiratory Syncytial Virus Infections,2,2,0,"Palivizumab, Ribavirin"
Secondary malignant neoplasm of colon,2,2,0,"Bevacizumab, Panitumumab"
Malignant tumor of peritoneum,2,2,0,"Bevacizumab, Olaparib"
Osteomalacia,2,2,0,"Cholecalciferol, Ergocalciferol"
Vitamin D-dependent rickets,2,2,0,"Cholecalciferol, Ergocalciferol"
Pellagra,2,2,0,"Nicotinamide, Nicotine"
Epileptic drop attack,2,2,0,"Clonazepam, Lorazepam"
Supraventricular tachycardia,2,2,0,"Esmolol, Propranolol"
Perioperative hypertension,2,2,0,"Esmolol, Nitroglycerin"
"Keratitis, Dendritic",2,2,0,"Ganciclovir, Vidarabine"
Mucocutaneous candidiasis,2,2,0,"Fluconazole, Nystatin"
Pneumococcal pharyngitis,2,2,0,"Ampicillin, Erythromycin"
Toxoplasmosis associated with AIDS,2,2,0,"Pyrimethamine, Sulfadiazine"
Cerebrovascular Occlusion,2,2,0,"Apraclonidine, Ticlopidine"
Hairy Cell Leukemia,2,2,0,"Cladribine, Pentostatin"
Ulcerative colitis in remission,2,2,0,"Mesalazine, Olsalazine"
Hyperprolactinemia,2,2,0,"Bromocriptine, Cabergoline"
Leprosy,2,2,0,"Clofazimine, Dapsone"
Scrub Typhus,2,2,0,"Doxycycline, Fusidic Acid"
Endemic Flea-Borne Typhus,2,2,0,"Doxycycline, Fusidic Acid"
Q fever endocarditis,2,2,0,"Doxycycline, Fusidic Acid"
Brill-Zinsser Disease,2,2,0,"Doxycycline, Fusidic Acid"
"Typhus, Epidemic Louse-Borne",2,2,0,"Doxycycline, Fusidic Acid"
Chlamydia Infections,2,2,0,"Doxycycline, Fusidic Acid"
Glioblastoma multiforme of brain,2,2,0,"Carmustine, Temozolomide"
Nocardia Infections,2,2,0,"Sulfamethoxazole, Sulfisoxazole"
Myxedema,2,2,0,"Levothyroxine, Liothyronine"
Congenital Hypothyroidism,2,2,0,"Levothyroxine, Liothyronine"
Goiter,2,2,0,"Levothyroxine, Liothyronine"
Hypothyroidism,2,2,0,"Levothyroxine, Liothyronine"
Osteolytic Lesions of Multiple Myeloma,2,2,0,"Pamidronate, Zoledronic acid"
Malignant tumor of cervix,2,2,0,"Bleomycin, Topotecan"
Malignant essential hypertension,2,2,0,"Fenoldopam, Nitroprusside"
Shoulder tendinitis,2,2,0,"Indomethacin, Magnesium salicylate"
Opioid withdrawal,2,2,0,"Lofexidine, Methadone"
Skin Ulcer,2,2,0,"Silver sulfadiazine, Sulfadiazine"
Treatment-resistant schizophrenia,2,2,0,"Clozapine, Thioridazine"
Secondary malignant neoplasm of kidney,2,2,0,"Medroxyprogesterone acetate, Progesterone"
Malignant epithelial neoplasm of thyroid,2,2,0,"Sorafenib, Vandetanib"
Tinea barbae,2,2,0,"Griseofulvin, Tolnaftate"
Salmonella sepsis,2,2,0,"Ampicillin, Ceftriaxone"
Paratyphoid Fever,2,2,0,"Ampicillin, Chloramphenicol"
Intractable hiccups,2,2,0,"Chlorpromazine, Promazine"
Disruptive Behavior Disorder,2,2,0,"Chlorpromazine, Promazine"
Sialorrhea,2,2,0,"Glycopyrronium, Hyoscyamine"
Uric acid renal calculus,2,2,0,"Allopurinol, Potassium Citrate"
Gonococcal meningitis,2,2,0,"Ceftazidime, Ceftriaxone"
Scalp Dermatoses,2,2,0,"Betamethasone, Clobetasol propionate"
Varicosity,2,2,0,"Polidocanol, Sodium Tetradecyl Sulfate"
Influenza due to Influenza A virus,2,2,0,"Amantadine, Rimantadine"
Haemophilus influenzae type b infection,2,2,0,"Cefotaxime, Ceftriaxone"
"Arthritis, Bacterial",2,2,0,"Cefotaxime, Ceftriaxone"
Prostatic Neoplasms,2,2,0,"Estramustine, Flutamide"
Gilles de la Tourette syndrome,2,2,0,"Haloperidol, Pimozide"
"Enterocolitis, Pseudomembranous",2,2,0,"Fidaxomicin, Vancomycin"
Pseudobulbar affect,2,2,0,"Dextromethorphan, Quinidine"
Rhabdomyosarcoma,2,2,0,"Dactinomycin, Vincristine"
Superficial basal cell carcinoma,2,2,0,"Fluorouracil, Imiquimod"
Meningeal Leukemia,2,2,0,"Cytarabine, Methotrexate"
Osteosarcoma of bone,2,2,0,"Doxorubicin, Methotrexate"
Chickenpox,2,2,0,"Aciclovir, Valaciclovir"
Genital Herpes,2,2,0,"Aciclovir, Valaciclovir"
Asymptomatic left ventricular systolic dysfunction,2,2,0,"Enalapril, Enalaprilat"
Amenorrhea,2,2,0,"Gonadorelin, Lisuride"
Pseudotumor Cerebri,2,2,0,"Mannitol, Thiopental"
Onchocerciasis,2,2,0,"Diethylcarbamazine, Ivermectin"
Strongyloidiasis,2,2,0,"Ivermectin, Thiabendazole"
Quartan malaria,2,2,0,"Chloroquine, Hydroxychloroquine"
Ovale malaria,2,2,0,"Chloroquine, Hydroxychloroquine"
"Ophthalmia, Sympathetic",2,2,0,"Prednisolone, Triamcinolone"
Infection by Trichuris trichiura,2,2,0,"Mebendazole, Thiabendazole"
Poisoning by pyrimethamine,2,2,0,"Leucovorin, Levoleucovorin"
Methotrexate poisoning,2,2,0,"Leucovorin, Levoleucovorin"
"Anemia, Megaloblastic",2,2,0,"Leucovorin, Levoleucovorin"
Poisoning by sulfadiazine,2,2,0,"Leucovorin, Levoleucovorin"
Mucormycosis,2,2,0,"Amphotericin B, Isavuconazonium"
"Leishmaniasis, Visceral",2,2,0,"Amphotericin B, Miltefosine"
Leishmaniasis,2,2,0,"Amphotericin B, Sodium stibogluconate"
Keratoconjunctivitis,2,2,0,"Fusidic Acid, Tobramycin"
Endomyometritis,2,2,0,"Norfloxacin, Trovafloxacin"
Postnatal infection,2,2,0,"Norfloxacin, Trovafloxacin"
Post-Traumatic Stress Disorder,2,2,0,"Paroxetine, Sertraline"
Autistic Disorder,2,2,0,"Aripiprazole, Risperidone"
Chronic iron overload,2,2,0,"Deferasirox, Deferoxamine"
Hyperkeratosis,2,2,0,"Salicylic acid, Tretinoin"
Cerebrovascular Disorders,2,2,0,"Isoxsuprine, Tolazoline"
Vascular Diseases,2,2,0,"Isoxsuprine, Tolazoline"
Folliculitis,2,2,0,"Fusidic Acid, Gentamicin"
Citrobacter sepsis,2,2,0,"Fusidic Acid, Gentamicin"
Paronychia Inflammation,2,2,0,"Fusidic Acid, Gentamicin"
Furunculosis,2,2,0,"Fusidic Acid, Gentamicin"
Facial hyperpigmentation,2,2,0,"Hydroquinone, Tazarotene"
Pseudomonas aeruginosa infection,2,2,0,"Colistimethate, Colistin"
Enterobacter infection,2,2,0,"Colistimethate, Colistin"
Klebsiella Infections,2,2,0,"Colistimethate, Colistin"
Tetanus,2,2,0,"Benzylpenicillin, Diazepam"
Erythema nodosum leprosum,2,2,0,"Clofazimine, Thalidomide"
Onychomycosis of fingernails,2,2,0,"Itraconazole, Terbinafine"
Hypoplastic anemia,2,2,0,"Drostanolone, Oxymetholone"
Hepatolenticular Degeneration,2,2,0,"Penicillamine, Triethylenetetramine"
Cystinuria,2,2,0,"Penicillamine, Tiopronin"
Ocular Rosacea,2,2,0,"Loteprednol, Prednisolone"
Hyponatremia,2,2,0,"Conivaptan, Tolvaptan"
Malignant pericardial effusion,2,2,0,"Mechlorethamine, Thiotepa"
Malignant ascites,2,2,0,"Mechlorethamine, Thiotepa"
Acute amebiasis,2,2,0,"Metronidazole, Tinidazole"
Trichomonas Infections,2,2,0,"Metronidazole, Tinidazole"
"Liver Abscess, Amebic",2,2,0,"Metronidazole, Tinidazole"
"Hydatidiform mole, benign",2,2,0,"Dinoprost Tromethamine, Dinoprostone"
Greasy skin,2,2,0,"Salicylic acid, Sulfur"
Low Cardiac Output Syndrome,2,2,0,"Dopamine, Isoprenaline"
"Conjunctivitis, Vernal",2,2,0,"Cromoglicic acid, Lodoxamide"
"Keratoconjunctivitis, Vernal",2,2,0,"Cromoglicic acid, Lodoxamide"
Plague,2,2,0,"Minocycline, Streptomycin"
Meningococcus carrier,2,2,0,"Minocycline, Rifampicin"
Chromoblastomycosis,2,2,0,"Ketoconazole, Posaconazole"
Chronic idiopathic constipation,2,2,0,"Linaclotide, Lubiprostone"
Irritable bowel syndrome characterized by constipation,2,2,0,"Linaclotide, Lubiprostone"
Gonococcal joint infection,2,2,0,"Benzylpenicillin, Ceftriaxone"
"Syphilis, Congenital",2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
Neurosyphilis,2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
"Syphilis, secondary",2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
Rat-Bite Fever,2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
"Syphilis, Latent",2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
Pinta,2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
Bejel,2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
"Syphilis, tertiary",2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
Primary genital syphilis,2,2,0,"Benzylpenicillin, Procaine benzylpenicillin"
Gas gangrene caused by clostridium perfringens,2,2,0,"Benzylpenicillin, Clindamycin"
Glaucoma,2,2,0,"Bupranolol, Echothiophate"
Schistosomiasis,2,2,0,"Oxamniquine, Praziquantel"
Chronic tubotympanic suppurative otitis media,2,2,0,"Norfloxacin, Ofloxacin"
Helicobacter-associated gastritis,2,2,0,"Amoxicillin, Clarithromycin"
West Syndrome,2,2,0,"Corticotropin, Vigabatrin"
Paroxysmal atrial flutter,2,2,0,"Flecainide, Propafenone"
"Empyema, Pleural",2,2,0,"Clindamycin, Ticarcillin"
